category,company,product,official_url,affiliate_program_url,affiliate_status,affiliate_network,commission,recurring,recurring_duration,cookie_days,india_eligible,global_eligible,approval_required,customer_type,price_range,commercial_intent,competition,content_opportunity,letrusto_fit,profit_score,source_url,source_type,verified_date,notes
AI Software,Descript,Descript,descript.com,descript.com/affiliate,ACTIVE,PartnerStack,$25 per new subscriber,No,N/A,Not disclosed,YES,YES,YES,B2C,$12-$24/mo,MEDIUM,MEDIUM,HIGH,HIGH,60,descript.com/affiliate,Official affiliate page,2026-08-10,Flat $25 per subscriber. Migrating to PartnerStack. ~1 week approval time.
AI Software,Pictory,Pictory AI,pictory.ai,pictory.ai/affiliates,ACTIVE,PartnerStack,20% recurring,Yes,Not disclosed,Not disclosed,YES,YES,YES,B2C,$19-$99/mo,MEDIUM,LOW,HIGH,HIGH,62,pictory.ai/affiliates,Official affiliate page,2026-08-10,20% recurring commission. B2C video creation tool.
AI Software,Writesonic,Writesonic,writesonic.com,Not verified,,UNVERIFIED,Unknown,Not publicly disclosed,Unknown,Unknown,Unknown,YES,YES,Unknown,B2C,$0-$99/mo,MEDIUM,MEDIUM,HIGH,HIGH,N/A,Not verified,N/A,N/A,Affiliate program status not verified from official source. Do not assume active.
AI Software,Copy.ai,Copy.ai,copy.ai,Not verified,,UNVERIFIED,Unknown,Not publicly disclosed,Unknown,Unknown,Unknown,YES,YES,Unknown,B2C,$0-$49/mo,MEDIUM,MEDIUM,HIGH,HIGH,N/A,Not verified,N/A,N/A,Affiliate program status not verified from official source.
AI Software,Otter.ai,Otter.ai,otter.ai,Not verified,,UNVERIFIED,Unknown,Not publicly disclosed,Unknown,Unknown,Unknown,YES,YES,Unknown,B2C,$0-$30/mo,MEDIUM,LOW,MEDIUM,HIGH,N/A,Not verified,N/A,N/A,No public affiliate page found during research.
SaaS Business,Shopify,Shopify,shopify.com,shopify.com/affiliates,ACTIVE,Impact.com,Up to $150 per qualified referral,No,N/A,Not publicly stated,YES,YES,YES,B2C/B2B,Variable,VERY HIGH,HIGH,VERY HIGH,VERY HIGH,86,shopify.com/affiliates,Official affiliate page,2026-08-10,Commission varies by referral location. Basic/Grow/Advanced plans eligible. No commission cap.
SaaS Business,ActiveCampaign,ActiveCampaign,activecampaign.com,activecampaign.com/partner/affiliate,ACTIVE,PartnerStack,20-30% recurring,Yes,12 months,Not disclosed,YES,YES,YES,B2C/B2B,$15-$149/mo,HIGH,HIGH,VERY HIGH,VERY HIGH,80,activecampaign.com/partner/affiliate,Official affiliate page,2026-08-10,Starts at 20%; reaches 30% based on referrals and retention. PartnerStack. Up to 12 months recurring per customer.
SaaS Business,Kit (ConvertKit),Kit,kit.com,kit.com/affiliates,ACTIVE,PartnerStack,50% first 12 months; +10-20% lifetime,Yes,Lifetime (Bronze+),Not disclosed,YES,YES,YES,B2C,$9-$79+/mo,HIGH,MEDIUM,VERY HIGH,VERY HIGH,86,kit.com/affiliates,Official affiliate page,2026-08-10,Base: 50% for 12 months. Bronze(10+ customers): +10% indefinitely. Silver(50+): +15%. Gold(100+): +20% indefinitely. Minimum $5 payout.
SaaS Business,HubSpot,HubSpot,hubspot.com,hubspot.com/partners/affiliates,ACTIVE,Impact.com,Not publicly disclosed (up to $1000 CPA known),No,N/A,90,YES,YES,YES,B2B,$0-$3600+/mo,VERY HIGH,HIGH,VERY HIGH,VERY HIGH,86,hubspot.com/partners/affiliates,Official affiliate page (redirect issue on verification),2026-08-10,Commission not freshly verified on 2026-08-10 due to redirect. Based on general knowledge: up to $1000 CPA. Verify independently.
SaaS Business,monday.com,monday.com,monday.com,monday.com/partner/affiliate-program/,UNVERIFIED,Unknown,Not publicly disclosed,Unknown,Unknown,Unknown,YES,YES,Unknown,B2B,$9-$200+/mo,HIGH,HIGH,HIGH,VERY HIGH,N/A,monday.com/partner/affiliate-program/,Official page (failed to load),2026-08-10,Page failed to load during research. Verify independently.
SaaS Business,Pipedrive,Pipedrive CRM,pipedrive.com,N/A,UNVERIFIED,Unknown,Not publicly disclosed,Unknown,Unknown,Unknown,YES,YES,Unknown,B2B,$12-$59+/mo,HIGH,MEDIUM,HIGH,VERY HIGH,N/A,pipedrive.com/en/affiliates (404),Official (404),2026-08-10,Affiliate URL returns 404. May have referral program through other channels. Verify independently.
SaaS Business,Wix,Wix,wix.com,wix.com/affiliate-program,ACTIVE,Own,$100 per sale,No,N/A,30,YES,YES,YES,B2C,$0-$50/mo,HIGH,VERY HIGH,HIGH,HIGH,72,wix.com/affiliate-program,Official affiliate page,2026-08-10,Based on general knowledge. Verify commission structure independently.
SaaS Business,Squarespace,Squarespace,squarespace.com,squarespace.com/affiliates,ACTIVE,Impact.com,Up to $200 per sale,No,N/A,Not publicly stated,YES,YES,YES,B2C,$16-$65/mo,HIGH,HIGH,HIGH,HIGH,72,squarespace.com/affiliates,Official affiliate page,2026-08-10,Based on general knowledge. Commission varies by plan and location.
SaaS Business,Webflow,Webflow,webflow.com,webflow.com/referral,ACTIVE,PartnerStack,Not publicly disclosed,Unknown,Unknown,Not disclosed,YES,YES,YES,B2C/B2B,$0-$212+/mo,HIGH,MEDIUM,HIGH,HIGH,68,webflow.com/referral,Official referral page,2026-08-10,Referral program confirmed. Commission structure not publicly stated.
SaaS Business,Zapier,Zapier,zapier.com,zapier.com/l/referral,ACTIVE,Own,Not publicly disclosed,Unknown,Unknown,Not disclosed,YES,YES,NO,B2B,$0-$799+/mo,HIGH,MEDIUM,HIGH,HIGH,64,zapier.com/l/referral,Official referral page,2026-08-10,Referral/affiliate program confirmed. Commission details not publicly stated.
SaaS Business,Freshworks,Freshdesk,freshworks.com,Not verified,,UNVERIFIED,Unknown,Not publicly disclosed,Unknown,Unknown,Unknown,YES,YES,Unknown,B2B,$0-$200+/mo,HIGH,MEDIUM,HIGH,VERY HIGH,N/A,Not verified,N/A,N/A,India-based company. Affiliate program not verified from official source.
SaaS Business,ClickUp,ClickUp,clickup.com,clickup.com/affiliates,UNVERIFIED,Unknown,Not publicly disclosed,Unknown,Unknown,Unknown,YES,YES,Unknown,B2B,$0-$19+/user/mo,HIGH,HIGH,HIGH,VERY HIGH,N/A,clickup.com/affiliates,Official page (failed to load),2026-08-10,Page failed to load. Verify independently.
SaaS Business,Notion,Notion,notion.so,notion.so/affiliate,UNVERIFIED,Unknown,Not publicly disclosed,Unknown,Unknown,Unknown,YES,YES,Unknown,B2C/B2B,$0-$20+/mo,MEDIUM,MEDIUM,HIGH,HIGH,N/A,notion.so/affiliate (401),Official page (401 error),2026-08-10,Page returned 401. Affiliate program status not verified.
SaaS Business,Typeform,Typeform,typeform.com,Not found,,UNVERIFIED,Unknown,Not publicly disclosed,Unknown,Unknown,Unknown,YES,YES,Unknown,B2B,$0-$199+/mo,MEDIUM,MEDIUM,MEDIUM,HIGH,N/A,Not verified,N/A,N/A,No public affiliate page found.
SaaS Business,Calendly,Calendly,calendly.com,Not found,,UNVERIFIED,Unknown,Not publicly disclosed,Unknown,Unknown,Unknown,YES,YES,Unknown,B2B,$0-$20/mo,MEDIUM,MEDIUM,MEDIUM,HIGH,N/A,Not verified,N/A,N/A,No public affiliate page found.
SaaS Business,Zoom,Zoom,zoom.us,Not found,,UNVERIFIED,Unknown,Not publicly disclosed,Unknown,Unknown,Unknown,YES,YES,Unknown,B2B,$0-$200+/mo,MEDIUM,VERY HIGH,MEDIUM,HIGH,N/A,Not verified,N/A,N/A,Partner program exists but affiliate/referral for publishers not publicly documented.
Marketing SEO,Semrush,Semrush,semrush.com,semrush.com/lp/affiliate-program/en/,ACTIVE,Impact.com,"$10/trial; $50-$300/sale (up to $450 Platinum)",No,N/A,120,YES,YES,YES,B2B,$119-$449+/mo,VERY HIGH,HIGH,VERY HIGH,HIGH,80,semrush.com/lp/affiliate-program/en/,Official affiliate page,2026-08-10,"Commission tiers: Basic(0-4 sales/Q)=$300 Semrush One; Silver(5-19)=$350; Gold(20-49)=$400; Platinum(50+)=$450. 120-day cookie is exceptional."
Marketing SEO,Surfer SEO,Surfer SEO,surferseo.com,surferseo.com/affiliate/,ACTIVE,PartnerStack,"75-125% CPA on monthly; 15-25% on yearly (tiered)",No,N/A,Not disclosed,YES,YES,YES,B2B,$79-$219+/mo,HIGH,MEDIUM,VERY HIGH,HIGH,75,surferseo.com/affiliate/,Official affiliate page,2026-08-10,"Tier 1 (0-10 customers): 75% CPA monthly / 15% yearly. Tier 2 (11-50): 100% / 20%. Tier 3 (51+): 125% / 25%. Application required."
Marketing SEO,Ahrefs,Ahrefs,ahrefs.com,N/A,NO PROGRAM,N/A,N/A,No,N/A,N/A,N/A,YES,N/A,B2B,$99-$999+/mo,VERY HIGH,HIGH,VERY HIGH,HIGH,N/A,ahrefs.com/affiliate (404),Official (404),2026-08-10,Both /affiliate and /affiliates return 404. Confirmed NO affiliate program as of 2026-08-10.
Marketing SEO,Moz,Moz Pro,moz.com,moz.com/affiliate,ACTIVE,ShareASale,Not publicly disclosed,No,N/A,Not disclosed,YES,YES,YES,B2B,$99-$599+/mo,HIGH,HIGH,HIGH,HIGH,68,moz.com/affiliate,Official affiliate page,2026-08-10,Affiliate program exists via ShareASale. Commission rate not found on main page. Verify via ShareASale.
Marketing SEO,SE Ranking,SE Ranking,seranking.com,seranking.com/affiliates,ACTIVE,Own,30% recurring,Yes,Not disclosed,120,YES,YES,YES,B2B,$44-$191+/mo,HIGH,MEDIUM,HIGH,HIGH,72,seranking.com/affiliates,Official affiliate page,2026-08-10,30% recurring commission. 120-day cookie.
Marketing SEO,Mangools,Mangools,mangools.com,mangools.com/affiliate,ACTIVE,Own,30% recurring lifetime,Yes,Lifetime,30,YES,YES,YES,B2B,$29-$129/mo,HIGH,LOW,HIGH,HIGH,70,mangools.com/affiliate,Official affiliate page,2026-08-10,Rare: 30% recurring LIFETIME commission. Budget SEO tool. Good for India market.
Marketing SEO,Ubersuggest / NeilPatel,Ubersuggest,neilpatel.com,neilpatel.com/partner/,ACTIVE,Own,20-30% recurring,Yes,Not disclosed,Not disclosed,YES,YES,YES,B2C/B2B,$0-$200/mo,HIGH,MEDIUM,HIGH,HIGH,65,neilpatel.com/partner/,Official partner page,2026-08-10,Affiliate/partner program confirmed. Exact commission structure not freshly verified.
Marketing SEO,Rank Math,Rank Math,rankmath.com,Not found,,UNVERIFIED,Unknown,Not publicly disclosed,Unknown,Unknown,Unknown,YES,YES,Unknown,B2C,$0-$200+/yr,MEDIUM,MEDIUM,HIGH,HIGH,N/A,Not verified,N/A,N/A,India-based company. Affiliate program not verified from official source.
Marketing SEO,Yoast,Yoast SEO,yoast.com,yoast.com/affiliate/,ACTIVE,ShareASale,Not publicly disclosed,No,N/A,30,YES,YES,YES,B2C/B2B,$0-$229+/yr,MEDIUM,HIGH,HIGH,HIGH,60,yoast.com/affiliate/,Official affiliate page,2026-08-10,Affiliate program confirmed via ShareASale. Commission rate not found on main page.
Marketing SEO,Mailchimp,Mailchimp,mailchimp.com,N/A,DISCONTINUED,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,B2C/B2B,$0-$299+/mo,HIGH,VERY HIGH,HIGH,HIGH,N/A,mailchimp.com,N/A,2026-08-10,Mailchimp's affiliate program was discontinued. Cannot be monetized via affiliate.
Hosting,Bluehost,Bluehost Shared/WordPress Hosting,bluehost.com,bluehost.com/affiliates,ACTIVE,Impact.com,$65+ per qualified sale,No,N/A,30,YES,YES,YES,B2C/B2B,$2.95-$18.99/mo,VERY HIGH,VERY HIGH,HIGH,HIGH,71,bluehost.com/affiliates,Official affiliate page,2026-08-10,Commissions start at $65. 30-day cookie. Payment by PayPal or direct deposit within 45-70 days.
Hosting,Hostinger,Hostinger Web Hosting,hostinger.com,affiliates.hostinger.com,ACTIVE,Own (affiliates.hostinger.com),40%+ per sale (volume-based),No,N/A,Not disclosed,YES,YES,NO,B2C,$1.99-$17.99/mo,VERY HIGH,HIGH,HIGH,HIGH,71,hostinger.com/affiliates,Official affiliate page,2026-08-10,Instant signup. Commission starts at 40% and grows with performance. Very India-friendly pricing.
Hosting,SiteGround,SiteGround Web Hosting,siteground.com,siteground.com/affiliates.htm,ACTIVE,Own,"$50 (1-5 sales/mo); $75 (6-10); up to $100 (11-20); custom (21+)",No,N/A,60,YES,YES,YES,B2C,$2.99-$14.99/mo,VERY HIGH,HIGH,HIGH,HIGH,71,siteground.com/affiliates.htm,Official affiliate page,2026-08-10,"Weekly payouts. No minimum threshold. 60-day cookie. 60% commission on other SiteGround services. Top earners get custom deals."
Hosting,Namecheap,Namecheap Domains & Hosting,namecheap.com,namecheap.com/affiliates/,ACTIVE,"Impact.com, CJ",Varies by product (separate rates page),No,N/A,Not disclosed,YES,YES,YES,B2C,$8.88-$40+/yr,HIGH,HIGH,HIGH,HIGH,65,namecheap.com/affiliates/,Official affiliate page,2026-08-10,"Affiliate program on Impact.com and Commission Junction. Min withdrawal: $10 (Impact) or $50 USD (CJ)."
Hosting,WP Engine,WP Engine Managed Hosting,wpengine.com,wpengine.com/affiliates/,ACTIVE (not freshly verified),AWIN/ShareASale,$200 min per referral,No,N/A,180,YES,YES,YES,B2B,$25-$290+/mo,HIGH,HIGH,HIGH,HIGH,71,wpengine.com/affiliates/ (failed to load),Official page (load failure),2026-08-10,Commission from general knowledge only. Official page failed to load on 2026-08-10. Verify independently. 180-day cookie historically exceptional.
Hosting,GoDaddy,GoDaddy Hosting & Domains,godaddy.com,godaddy.com/affiliates,ACTIVE,CJ,Up to $100 per sale,No,N/A,45,YES,YES,YES,B2C/B2B,$2.99-$29.99/mo,VERY HIGH,VERY HIGH,HIGH,HIGH,65,godaddy.com/affiliates,Official affiliate page,2026-08-10,Commission from general knowledge. Verify independently.
Hosting,Kinsta,Kinsta Managed WordPress,kinsta.com,kinsta.com/affiliates,ACTIVE,Own,$50-$500 + 10% monthly recurring,Yes,Ongoing,60,YES,YES,YES,B2B,$35-$1500+/mo,HIGH,MEDIUM,HIGH,HIGH,70,kinsta.com/affiliates,Official affiliate page,2026-08-10,One of few hosting programs with recurring commission (10% monthly). High-value managed hosting.
Hosting,Liquid Web,Liquid Web,liquidweb.com,liquidweb.com/affiliates,ACTIVE,Impact.com,150% of first month (min $150),No,N/A,90,YES,YES,YES,B2B,$15-$900+/mo,MEDIUM,MEDIUM,MEDIUM,MEDIUM,62,liquidweb.com/affiliates,Official affiliate page,2026-08-10,150% CPA with $150 minimum. 90-day cookie.
Hosting,BigRock,BigRock India,bigrock.in,bigrock.in/affiliates,ACTIVE,Own,Up to INR 5000 per sale,No,N/A,Not disclosed,YES,India only,YES,B2C,INR 99-3000+/yr,HIGH,MEDIUM,MEDIUM,HIGH,60,bigrock.in/affiliates,Official affiliate page,2026-08-10,India-specific registrar. Good for India-focused hosting content.
VPN Security,Nord Security,NordVPN,nordvpn.com,nordvpn.com/affiliate/,ACTIVE,Own,"100% new (1-mo plan); 40% new (1yr/2yr); 30% renewals",Yes,Ongoing renewals,~30,YES,YES,YES,B2C,$3.99-$13.99/mo,HIGH,HIGH,HIGH,HIGH,72,nordvpn.com/affiliate/,Official affiliate page,2026-08-10,"Commission verified from official page. 1-month new: 100%. 1-year/2-year new: 40%. All renewals: 30%. Cookie duration not stated on page; ~30 days from general knowledge."
VPN Security,ExpressVPN,ExpressVPN,expressvpn.com,expressvpn.com/affiliates,ACTIVE,Impact.com,Not publicly disclosed,Yes,Ongoing renewals,Not disclosed,YES,YES,YES,B2C,$6.67-$12.95/mo,HIGH,HIGH,HIGH,HIGH,70,expressvpn.com/affiliates,Official affiliate page,2026-08-10,Page says "highest commissions in VPN industry" but does not disclose rate. Impact.com affiliate network. Verify actual commission via Impact.com application.
VPN Security,Surfshark,Surfshark VPN,surfshark.com,surfshark.com/affiliates,ACTIVE,Own,"40% new sign-ups, 30% renewals",Yes,Ongoing,30,YES,YES,YES,B2C,$2.49-$4.98/mo,HIGH,MEDIUM,HIGH,HIGH,70,surfshark.com/affiliates,Official affiliate page,2026-08-10,Commission from general knowledge. Verify independently.
VPN Security,CyberGhost,CyberGhost VPN,cyberghostvpn.com,cyberghostvpn.com/affiliates,ACTIVE,CJ,"100% first month, 45% recurring",Yes,Ongoing,45,YES,YES,YES,B2C,$2.19-$12.99/mo,HIGH,MEDIUM,HIGH,HIGH,70,cyberghostvpn.com/affiliates,Official affiliate page,2026-08-10,Commission from general knowledge. Verify independently.
VPN Security,AgileBits,1Password,1password.com,1password.com/affiliate,ACTIVE,Impact.com,25% recurring,Yes,Ongoing,30,YES,YES,YES,B2C/B2B,$2.99-$7.99/mo,MEDIUM,MEDIUM,HIGH,HIGH,68,1password.com/affiliate,Official affiliate page,2026-08-10,25% recurring. Password manager market growing fast in India.
VPN Security,Dashlane,Dashlane,dashlane.com,dashlane.com/affiliates,ACTIVE,Own,30% recurring,Yes,Ongoing,Not disclosed,YES,YES,YES,B2C,$4.99-$8/mo,MEDIUM,MEDIUM,HIGH,HIGH,68,dashlane.com/affiliates,Official affiliate page,2026-08-10,30% recurring. Commission from general knowledge. Verify independently.
VPN Security,Gen Digital,Norton Security,norton.com,norton.com/affiliate,ACTIVE,CJ,Not publicly disclosed,No,N/A,30,YES,YES,YES,B2C,$29.99-$99.99/yr,MEDIUM,HIGH,MEDIUM,HIGH,60,norton.com/affiliate,Official affiliate page,2026-08-10,Commission from general knowledge. Verify via CJ.
VPN Security,Malwarebytes,Malwarebytes,malwarebytes.com,malwarebytes.com/affiliates,ACTIVE,ShareASale,Not publicly disclosed,No,N/A,Not disclosed,YES,YES,YES,B2C,$39.99-$79.99/yr,MEDIUM,MEDIUM,MEDIUM,HIGH,58,malwarebytes.com/affiliates,Official affiliate page,2026-08-10,Commission from general knowledge. Verify via ShareASale.
Creator Video,Adobe,Adobe Creative Cloud,adobe.com,adobe.com/affiliates,ACTIVE,CJ,8.33-85% (varies by product),No,N/A,30,YES,YES,YES,B2C/B2B,$20-$600+/mo,HIGH,VERY HIGH,HIGH,HIGH,66,adobe.com/affiliates,Official affiliate page,2026-08-10,Commission varies widely by product and duration. From general knowledge. Verify via CJ.
Creator Video,Runway AI,Runway,runway.com,runway.com/affiliate-program,ACTIVE,Own,$15 flat per new subscriber,No,N/A,Not disclosed,YES,YES,YES,B2C,$15-$95/mo,HIGH,MEDIUM,HIGH,HIGH,66,runway.com/affiliate-program,Official affiliate page,2026-08-10,Verified 2026-08-10. Flat $15. No percentage. Followers get 25% off. Active partner gets free Max plan.
Creator Video,ElevenLabs,ElevenLabs,elevenlabs.io,elevenlabs.io/affiliates,ACTIVE,PartnerStack,22% (11% Business),Yes,12 months,90,YES,YES,NO,B2C/B2B,$5-$99+/mo,HIGH,MEDIUM,HIGH,HIGH,74,elevenlabs.io/affiliates,Official affiliate page,2026-08-10,Best creator AI affiliate in research. 22% recurring for 12 months. Instant signup.
Creator Video,Descript,Descript,descript.com,descript.com/affiliate,ACTIVE,PartnerStack,$25 per subscriber,No,N/A,Not disclosed,YES,YES,YES,B2C,$12-$24/mo,MEDIUM,MEDIUM,HIGH,HIGH,60,descript.com/affiliate,Official affiliate page,2026-08-10,Flat $25 per subscriber. Migrating to PartnerStack.
Creator Video,Canva,Canva Pro,canva.com,canva.com/affiliates/,CLOSED,Impact.com,Not disclosed,No,N/A,Not disclosed,UNKNOWN,YES,YES,B2C,$0-$55/mo,HIGH,HIGH,HIGH,VERY HIGH,50,canva.com/affiliates/,Official help page,2026-08-10,Currently CLOSED for new applications. No commission rate publicly disclosed.
Creator Video,CapCut,CapCut,capcut.com,Not found,,UNVERIFIED,Unknown,Not publicly disclosed,Unknown,Unknown,Unknown,YES,YES,Unknown,B2C,$0-$7.99/mo,MEDIUM,MEDIUM,HIGH,HIGH,N/A,Not verified,N/A,N/A,No public affiliate page found.
Creator Video,Figma,Figma,figma.com,N/A,NO PROGRAM,N/A,N/A,No,N/A,N/A,N/A,YES,N/A,B2C/B2B,$0-$45+/mo,MEDIUM,HIGH,HIGH,HIGH,N/A,figma.com,N/A,2026-08-10,No public affiliate program. Figma focuses on word-of-mouth and enterprise sales.
Creator Video,Pictory AI,Pictory AI,pictory.ai,pictory.ai/affiliates,ACTIVE,PartnerStack,20% recurring,Yes,Not disclosed,Not disclosed,YES,YES,YES,B2C,$19-$99/mo,MEDIUM,LOW,HIGH,HIGH,62,pictory.ai/affiliates,Official affiliate page,2026-08-10,20% recurring. AI video creation tool.
Productivity,Zapier,Zapier Automation,zapier.com,zapier.com/l/referral,ACTIVE,Own,Not publicly disclosed,Unknown,Unknown,Not disclosed,YES,YES,NO,B2B,$0-$799+/mo,HIGH,MEDIUM,HIGH,HIGH,64,zapier.com/l/referral,Official referral page,2026-08-10,Referral/affiliate program confirmed. Commission structure not publicly stated. Verify independently.
Productivity,Make,Make (formerly Integromat),make.com,make.com/en/partners,ACTIVE,Own,Not publicly disclosed,Unknown,Unknown,Not disclosed,YES,YES,Unknown,B2B,$0-$299+/mo,HIGH,MEDIUM,HIGH,HIGH,62,make.com/en/partners,Official partner page,2026-08-10,Partner program confirmed. Commission not publicly stated.
Productivity,Kit,Kit (ConvertKit),kit.com,kit.com/affiliates,ACTIVE,PartnerStack,50% first 12 months + lifetime recurring,Yes,Lifetime (Bronze+),Not disclosed,YES,YES,YES,B2C,$9-$79+/mo,HIGH,MEDIUM,VERY HIGH,VERY HIGH,86,kit.com/affiliates,Official affiliate page,2026-08-10,Duplicate from SaaS — Kit is both productivity and email marketing.
Productivity,ActiveCampaign,ActiveCampaign,activecampaign.com,activecampaign.com/partner/affiliate,ACTIVE,PartnerStack,20-30% recurring,Yes,12 months,Not disclosed,YES,YES,YES,B2B,$15-$149/mo,HIGH,HIGH,HIGH,VERY HIGH,80,activecampaign.com/partner/affiliate,Official affiliate page,2026-08-10,Duplicate from SaaS — also relevant for productivity category.
Productivity,Notion,Notion,notion.so,notion.so/affiliate,UNVERIFIED,Unknown,Not publicly disclosed,Unknown,Unknown,Unknown,YES,YES,Unknown,B2C/B2B,$0-$20+/mo,MEDIUM,HIGH,HIGH,HIGH,N/A,notion.so/affiliate (401 error),Official page (401),2026-08-10,Cannot verify program status.
Productivity,ClickUp,ClickUp,clickup.com,clickup.com/affiliates,UNVERIFIED,Unknown,Not publicly disclosed,Unknown,Unknown,Unknown,YES,YES,Unknown,B2B,$0-$19+/user/mo,HIGH,HIGH,HIGH,VERY HIGH,N/A,clickup.com/affiliates (failed),Official page (failed),2026-08-10,Page failed to load. Cannot verify.
Productivity,Asana,Asana,asana.com,Not found,,UNVERIFIED,Unknown,Not publicly disclosed,Unknown,Unknown,Unknown,YES,YES,Unknown,B2B,$10-$25+/user/mo,HIGH,HIGH,HIGH,HIGH,N/A,Not verified,N/A,N/A,No public affiliate page found.
Productivity,Trello,Trello,trello.com,N/A,NO PROGRAM,N/A,N/A,No,N/A,N/A,N/A,YES,N/A,B2C/B2B,$0-$17.50+/user/mo,MEDIUM,VERY HIGH,MEDIUM,HIGH,N/A,trello.com,N/A,2026-08-10,Atlassian products have no public affiliate program.
Travel,Booking Holdings,Booking.com,booking.com,booking.com/affiliate-program/v2/,ACTIVE,CJ,Not publicly disclosed (commission on bookings),No,N/A,Session,YES,YES,YES,B2C,Variable,HIGH,VERY HIGH,MEDIUM,LOW,37,booking.com/affiliate-program/v2/,Official affiliate page,2026-08-10,Program confirmed via CJ. Commission rate not disclosed on main affiliate page. Very short session cookie.
Travel,Expedia Group,Expedia,expedia.com,expediapartnercentral.com,ACTIVE,CJ/Own,2-6% per booking,No,N/A,7,YES,YES,YES,B2C,Variable,HIGH,VERY HIGH,MEDIUM,LOW,37,expediapartnercentral.com,Official affiliate page,2026-08-10,Commission from general knowledge. 7-day cookie only.
